date,equity,cash,holding_code,scheduled_code
2024-03-05,303292.4039914812,303292.4039914812,,
2024-03-06,303292.4039914812,303292.4039914812,,7733
2024-03-07,303292.4039914812,303292.4039914812,,
2024-03-08,303292.4039914812,303292.4039914812,,
2024-03-11,303292.4039914812,303292.4039914812,,
2024-03-12,303292.4039914812,303292.4039914812,,
2024-03-13,303292.4039914812,303292.4039914812,,9202
2024-03-14,303292.4039914812,303292.4039914812,,8001
2024-03-15,303292.4039914812,303292.4039914812,,
2024-03-18,303292.4039914812,303292.4039914812,,7269
2024-03-19,303292.4039914812,303292.4039914812,,
2024-03-21,303292.4039914812,303292.4039914812,,
2024-03-22,303292.4039914812,303292.4039914812,,
2024-03-25,303292.4039914812,303292.4039914812,,
2024-03-26,303292.4039914812,303292.4039914812,,
2024-03-27,303292.4039914812,303292.4039914812,,
2024-03-28,303292.4039914812,303292.4039914812,,
2024-03-29,303292.4039914812,303292.4039914812,,9202
2024-04-01,303292.4039914812,303292.4039914812,,6954
2024-04-02,303292.4039914812,303292.4039914812,,
2024-04-03,303292.4039914812,303292.4039914812,,
2024-04-04,303292.4039914812,303292.4039914812,,7741
2024-04-05,303292.4039914812,303292.4039914812,,
2024-04-08,303292.4039914812,303292.4039914812,,6954
2024-04-09,303292.4039914812,303292.4039914812,,
2024-04-10,303292.4039914812,303292.4039914812,,
2024-04-11,303292.4039914812,303292.4039914812,,4507
2024-04-12,303292.4039914812,303292.4039914812,,4568
2024-04-15,303292.4039914812,303292.4039914812,,9735
2024-04-16,303292.4039914812,303292.4039914812,,
2024-04-17,303292.4039914812,303292.4039914812,,
2024-04-18,303292.4039914812,303292.4039914812,,9020
2024-04-19,303292.4039914812,303292.4039914812,,4568
2024-04-22,303292.4039914812,303292.4039914812,,8001
2024-04-23,303292.4039914812,303292.4039914812,,9983
2024-04-24,303292.4039914812,303292.4039914812,,8035
2024-04-25,303292.4039914812,303292.4039914812,,
2024-04-26,303292.4039914812,303292.4039914812,,2502
2024-04-30,303292.4039914812,303292.4039914812,,8035
2024-05-01,303292.4039914812,303292.4039914812,,
2024-05-02,303292.4039914812,303292.4039914812,,6902
2024-05-07,303292.4039914812,303292.4039914812,,9984
2024-05-08,303292.4039914812,303292.4039914812,,
2024-05-09,303292.4039914812,303292.4039914812,,
2024-05-10,303292.4039914812,303292.4039914812,,8015
2024-05-13,303292.4039914812,303292.4039914812,,6723
2024-05-14,303292.4039914812,303292.4039914812,,
2024-05-15,303292.4039914812,303292.4039914812,,7270
2024-05-16,303292.4039914812,303292.4039914812,,
2024-05-17,303292.4039914812,303292.4039914812,,
2024-05-20,303292.4039914812,303292.4039914812,,8801
2024-05-21,303292.4039914812,303292.4039914812,,7270
2024-05-22,303292.4039914812,303292.4039914812,,8630
2024-05-23,303292.4039914812,303292.4039914812,,
2024-05-24,303292.4039914812,303292.4039914812,,
2024-05-27,303292.4039914812,303292.4039914812,,
2024-05-28,303292.4039914812,303292.4039914812,,
2024-05-29,303292.4039914812,303292.4039914812,,
2024-05-30,303292.4039914812,303292.4039914812,,6178
2024-05-31,303292.4039914812,303292.4039914812,,8802
2024-06-03,303292.4039914812,303292.4039914812,,
2024-06-04,303292.4039914812,303292.4039914812,,
2024-06-05,303292.4039914812,303292.4039914812,,
2024-06-06,303292.4039914812,303292.4039914812,,
2024-06-07,303292.4039914812,303292.4039914812,,
2024-06-10,303292.4039914812,303292.4039914812,,5108
2024-06-11,303292.4039914812,303292.4039914812,,
2024-06-12,303292.4039914812,303292.4039914812,,6954
2024-06-13,303292.4039914812,303292.4039914812,,
2024-06-14,303292.4039914812,303292.4039914812,,8604
2024-06-17,301801.20399148116,212001.20399148116,8604,
2024-06-18,302051.20399148116,212001.20399148116,8604,
2024-06-19,301881.20277077804,212001.20399148116,8604,
2024-06-20,300369.8892702374,300369.8892702374,,
2024-06-21,300369.8892702374,300369.8892702374,,
2024-06-24,300369.8892702374,300369.8892702374,,
2024-06-25,300369.8892702374,300369.8892702374,,8053
2024-06-26,300369.8892702374,300369.8892702374,,
2024-06-27,300369.8892702374,300369.8892702374,,
2024-06-28,300369.8892702374,300369.8892702374,,
2024-07-01,300369.8892702374,300369.8892702374,,
2024-07-02,300369.8892702374,300369.8892702374,,
2024-07-03,300369.8892702374,300369.8892702374,,2502
2024-07-04,300369.8892702374,300369.8892702374,,7269
2024-07-05,300369.8892702374,300369.8892702374,,7309
2024-07-08,300369.8892702374,300369.8892702374,,7751
2024-07-09,300369.8892702374,300369.8892702374,,
2024-07-10,300369.8892702374,300369.8892702374,,5802
2024-07-11,300369.8892702374,300369.8892702374,,7309
2024-07-12,300369.8892702374,300369.8892702374,,
2024-07-16,300369.8892702374,300369.8892702374,,5802
2024-07-17,300369.8892702374,300369.8892702374,,
2024-07-18,300369.8892702374,300369.8892702374,,
2024-07-19,300369.8892702374,300369.8892702374,,
2024-07-22,300369.8892702374,300369.8892702374,,
2024-07-23,300369.8892702374,300369.8892702374,,
2024-07-24,300369.8892702374,300369.8892702374,,7741
2024-07-25,300369.8892702374,300369.8892702374,,
2024-07-26,300369.8892702374,300369.8892702374,,
2024-07-29,300369.8892702374,300369.8892702374,,9984
2024-07-30,300369.8892702374,300369.8892702374,,
2024-07-31,300369.8892702374,300369.8892702374,,5803
2024-08-01,300369.8892702374,300369.8892702374,,
2024-08-02,300369.8892702374,300369.8892702374,,
2024-08-05,300369.8892702374,300369.8892702374,,
2024-08-06,300369.8892702374,300369.8892702374,,7011
2024-08-07,300369.8892702374,300369.8892702374,,6501
2024-08-08,300369.8892702374,300369.8892702374,,4689
2024-08-09,299671.38865988585,261831.3892702374,4689,
2024-08-13,299951.39049094054,261831.3892702374,4689,
2024-08-14,300361.3880495343,261831.3892702374,4689,
2024-08-15,299451.39049094054,261831.3892702374,4689,
2024-08-16,300101.39049094054,261831.3892702374,4689,
