strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-28,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-29,297579.9951171875,0.0,297579.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-09-30,59329.9951171875,240100.0,299429.9951171875,0.8018568744458363,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-03,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-04,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-05,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-06,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-07,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-11,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-12,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-13,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-14,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-17,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-18,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-19,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-20,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-21,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-24,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-25,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-26,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-27,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-28,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-10-31,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-01,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-02,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-04,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-07,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-08,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-09,297629.9951171875,0.0,297629.9951171875,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-11-10,297629.9951171875,0.0,297629.9951171875,0.0,0
